grid_id,population,median_income,avg_age,household_size,employment_rate,education_index,urbanization_level,internet_penetration,smartphone_adoption
cell_7087,10028,631813,36.1,4.05,0.687,0.748,0.986,0.756,0.78
cell_7088,8280,1420705,33.1,3.36,0.839,0.871,1.0,0.91,0.885
cell_7089,6649,1319267,32.0,3.07,0.803,0.871,1.0,0.924,0.909
cell_7090,6142,1556467,31.3,3.24,0.826,0.854,0.981,0.95,0.91
cell_7091,7661,1314616,32.8,3.17,0.824,0.902,1.0,0.907,0.927
cell_7092,7660,1432327,31.2,3.26,0.851,0.894,1.0,0.95,0.89
cell_7093,6944,1467081,30.6,3.23,0.786,0.907,1.0,0.924,0.91
cell_7094,7378,1350756,32.8,3.28,0.826,0.919,1.0,0.95,0.895
cell_7095,7454,1493895,31.7,3.17,0.849,0.85,1.0,0.95,0.931
cell_7096,7208,1522497,31.8,3.2,0.827,0.842,1.0,0.95,0.894
cell_7097,8493,1445126,31.5,3.16,0.823,0.872,0.997,0.918,0.925
cell_7098,8539,1345961,30.8,3.21,0.791,0.89,0.988,0.939,0.918
cell_7099,6789,1531872,33.1,3.11,0.846,0.87,1.0,0.92,0.919
cell_7100,6736,1592018,32.8,3.35,0.817,0.849,0.992,0.906,0.91
cell_7101,7340,1468329,31.4,3.04,0.814,0.884,1.0,0.929,0.923
cell_7102,7426,1574680,31.5,3.38,0.779,0.892,1.0,0.923,0.882
cell_7103,5602,1462480,33.1,3.03,0.788,0.836,0.991,0.95,0.894
cell_7104,6459,1338723,31.0,3.09,0.79,0.906,0.999,0.943,0.901
cell_7105,5925,1327018,31.0,3.33,0.797,0.867,1.0,0.941,0.922
cell_7106,6767,1527647,31.6,3.38,0.826,0.895,0.998,0.95,0.906
cell_7107,7556,1556088,32.4,3.31,0.782,0.86,1.0,0.926,0.925
cell_7108,7321,1426088,30.9,3.07,0.831,0.853,0.999,0.95,0.898
cell_7109,7654,1381231,31.5,3.06,0.835,0.881,1.0,0.925,0.921
cell_7110,6971,1328530,31.7,3.24,0.849,0.907,1.0,0.95,0.91
cell_7111,7762,1559557,32.3,3.37,0.798,0.917,0.989,0.942,0.932
cell_7112,7257,1590910,30.7,3.02,0.848,0.908,1.0,0.95,0.884
cell_7113,7468,1486029,33.3,3.36,0.833,0.891,0.994,0.914,0.924
cell_7114,7908,1319752,30.9,3.05,0.833,0.886,0.999,0.943,0.894
cell_7115,7380,1491847,31.7,3.04,0.8,0.921,0.988,0.91,0.895
cell_7116,7447,1426040,31.4,3.39,0.861,0.878,1.0,0.919,0.901
cell_7117,2392,529166,29.2,4.26,0.621,0.697,0.94,0.737,0.688
cell_7118,2170,541754,28.0,4.65,0.644,0.687,0.935,0.763,0.727
cell_7119,2229,551706,27.4,4.66,0.649,0.675,0.937,0.725,0.722
cell_7120,2365,537266,27.2,4.15,0.681,0.697,0.966,0.735,0.731
cell_7121,2313,526678,28.8,4.4,0.652,0.704,0.959,0.768,0.705
cell_7122,2511,554771,27.8,4.32,0.672,0.682,0.954,0.722,0.696
cell_7123,2331,508920,29.1,4.61,0.661,0.667,0.946,0.754,0.698
cell_7124,2820,549970,28.2,4.63,0.64,0.698,0.96,0.765,0.73
cell_7125,2703,531013,28.5,4.28,0.646,0.694,0.957,0.734,0.692
cell_7126,2272,532609,27.5,4.51,0.65,0.671,0.965,0.752,0.71
cell_7127,2634,523368,28.5,4.15,0.618,0.709,0.951,0.729,0.727
cell_7128,2353,508252,29.0,4.43,0.675,0.693,0.949,0.72,0.704
cell_7129,2410,583785,27.3,4.38,0.623,0.677,0.954,0.744,0.705
cell_7130,2213,589916,28.8,4.39,0.642,0.689,0.952,0.75,0.699
cell_7131,2476,550897,27.0,4.59,0.659,0.662,0.963,0.752,0.707
cell_7132,2604,515150,28.7,4.54,0.621,0.702,0.96,0.765,0.688
cell_7133,2298,548737,27.3,4.37,0.625,0.667,0.934,0.74,0.698
cell_7134,2470,531312,26.9,4.53,0.659,0.648,0.969,0.748,0.693
cell_7135,2954,568253,29.1,4.15,0.679,0.65,0.955,0.731,0.684
cell_7136,2407,599619,27.5,4.53,0.634,0.686,0.961,0.744,0.699
cell_7137,2956,811500,30.3,3.9,0.712,0.815,1.0,0.831,0.821
cell_7138,3425,776153,29.4,3.69,0.707,0.792,1.0,0.837,0.829
cell_7139,4006,721244,29.1,3.75,0.72,0.832,1.0,0.84,0.806
cell_7140,3085,807564,28.8,4.02,0.697,0.845,1.0,0.848,0.824
cell_7141,3302,819329,29.9,4.02,0.73,0.816,0.999,0.851,0.845
cell_7142,4194,702414,30.8,3.76,0.694,0.802,0.992,0.881,0.846
cell_7143,2987,722198,30.3,3.92,0.743,0.854,0.997,0.871,0.858
cell_7144,3332,745241,30.8,4.0,0.748,0.84,1.0,0.878,0.854
cell_7145,3716,831093,31.1,4.03,0.744,0.808,1.0,0.829,0.824
cell_7146,3392,819632,29.0,3.78,0.756,0.827,1.0,0.864,0.811
cell_7147,3727,793967,28.8,3.77,0.739,0.802,0.99,0.84,0.809
cell_7148,4033,738892,28.9,3.72,0.762,0.822,0.999,0.887,0.83
cell_7149,3930,756118,29.7,3.94,0.765,0.858,1.0,0.86,0.855
cell_7150,3577,711273,30.5,3.8,0.75,0.813,0.996,0.877,0.825
cell_7151,4072,704806,29.9,4.11,0.753,0.859,1.0,0.847,0.809
cell_7152,2980,695512,31.2,3.9,0.701,0.842,0.993,0.83,0.809
cell_7153,3953,722559,30.2,3.67,0.714,0.794,0.983,0.859,0.839
cell_7154,2780,825708,29.2,4.02,0.748,0.805,0.988,0.842,0.834
cell_7155,3396,807365,30.0,4.13,0.742,0.796,1.0,0.882,0.811
cell_7156,3176,827280,30.5,3.74,0.757,0.786,0.996,0.876,0.859
cell_7157,3707,713906,28.6,3.68,0.742,0.792,0.982,0.893,0.813
cell_7158,3586,705957,29.6,3.97,0.74,0.848,0.997,0.887,0.842
cell_7159,3144,771355,30.3,4.02,0.746,0.822,1.0,0.879,0.82
cell_7160,3552,830683,29.8,4.13,0.717,0.784,1.0,0.885,0.838
cell_7161,2636,794101,31.0,3.78,0.728,0.858,0.998,0.835,0.857
cell_7162,3333,698810,29.9,4.03,0.746,0.82,1.0,0.85,0.846
cell_7163,2868,817414,29.4,3.76,0.7,0.811,0.983,0.86,0.858
cell_7164,3226,729563,29.1,3.7,0.701,0.853,0.992,0.853,0.829
cell_7165,4037,830487,29.1,3.81,0.716,0.816,1.0,0.842,0.849
cell_7166,3456,805448,31.1,3.9,0.717,0.842,0.993,0.836,0.852
cell_7167,3498,823603,28.9,3.93,0.734,0.85,0.994,0.853,0.831
cell_7168,3192,750284,29.1,4.06,0.725,0.804,0.985,0.832,0.861
cell_7169,4383,753712,30.9,4.06,0.715,0.827,1.0,0.845,0.841
cell_7170,3585,758530,29.9,3.91,0.704,0.844,1.0,0.893,0.813
cell_7171,3051,761481,29.1,3.88,0.74,0.784,1.0,0.89,0.815
cell_7172,3640,784994,30.7,3.8,0.751,0.788,1.0,0.849,0.812
cell_7173,3496,773055,31.4,3.97,0.718,0.848,0.991,0.846,0.799
cell_7174,3056,729223,29.6,3.94,0.709,0.831,0.985,0.89,0.799
cell_7175,3897,791927,29.4,3.75,0.763,0.815,0.999,0.893,0.819
cell_7176,10900,647015,36.0,4.53,0.667,0.736,0.997,0.798,0.73
cell_7177,10262,647830,33.8,4.54,0.684,0.722,1.0,0.78,0.761
cell_7178,11126,589352,36.0,4.49,0.667,0.747,0.999,0.784,0.745
cell_7179,13115,697254,34.8,4.31,0.654,0.707,1.0,0.761,0.755
cell_7180,12825,632642,35.9,4.21,0.678,0.703,1.0,0.776,0.733
cell_7181,10467,692597,35.1,4.38,0.71,0.697,1.0,0.782,0.771
cell_7182,10077,600854,35.5,4.11,0.7,0.702,0.99,0.766,0.765
cell_7183,14529,588961,34.2,4.39,0.688,0.709,1.0,0.757,0.758
cell_7184,11201,625598,36.7,4.29,0.712,0.702,1.0,0.794,0.771
cell_7185,12969,660571,36.7,4.16,0.648,0.733,0.987,0.791,0.739
cell_7186,11309,582611,34.0,4.22,0.655,0.75,1.0,0.803,0.761
cell_7187,13236,582882,33.8,4.35,0.67,0.692,0.99,0.778,0.751
cell_7188,11382,621799,35.0,4.1,0.693,0.721,0.998,0.79,0.737
cell_7189,10154,643037,34.6,4.18,0.654,0.686,0.988,0.764,0.749
cell_7190,12070,636688,35.4,4.15,0.674,0.727,0.992,0.77,0.768
cell_7191,12826,690741,35.8,4.07,0.684,0.734,1.0,0.801,0.738
cell_7192,10947,669542,35.9,4.05,0.692,0.685,1.0,0.793,0.754
cell_7193,12527,583321,36.2,4.15,0.678,0.719,1.0,0.761,0.738
cell_7194,11890,614255,35.4,4.09,0.7,0.722,0.988,0.774,0.728
cell_7195,12692,627877,34.4,4.48,0.685,0.732,0.985,0.793,0.747
cell_7196,12839,582904,33.9,4.24,0.668,0.721,0.996,0.798,0.766
cell_7197,12027,628143,35.8,4.11,0.704,0.723,1.0,0.798,0.742
cell_7198,11968,620109,34.6,4.51,0.708,0.703,0.984,0.749,0.746
cell_7199,11120,609248,34.5,4.18,0.704,0.73,1.0,0.802,0.746
cell_7200,13362,680556,36.0,4.34,0.677,0.748,1.0,0.781,0.736
cell_7201,10925,613892,34.2,4.1,0.648,0.74,0.984,0.804,0.733
cell_7202,13692,677447,36.3,4.22,0.713,0.704,1.0,0.776,0.723
cell_7203,13636,601254,36.1,4.12,0.656,0.742,0.992,0.754,0.777
cell_7204,11725,640526,35.6,4.49,0.692,0.737,0.987,0.773,0.755
cell_7205,6945,1587745,30.8,3.05,0.798,0.902,0.981,0.95,0.946
cell_7206,6461,1364136,31.7,3.21,0.846,0.839,1.0,0.95,0.915
cell_7207,7326,1310348,32.8,3.2,0.802,0.877,0.992,0.95,0.918
cell_7208,6662,1559631,32.6,3.28,0.83,0.843,0.982,0.935,0.941
cell_7209,8115,1332999,32.7,3.1,0.822,0.862,1.0,0.933,0.907
cell_7210,6361,1357048,32.2,3.06,0.801,0.883,0.991,0.947,0.875
cell_7211,8630,1451108,33.3,3.34,0.809,0.846,0.99,0.918,0.928
cell_7212,8104,1447013,32.9,3.13,0.828,0.892,1.0,0.95,0.894
cell_7213,6431,1521872,31.3,3.16,0.845,0.866,0.992,0.95,0.945
cell_7214,7141,1340265,31.5,3.17,0.838,0.918,0.984,0.95,0.897
cell_7215,7420,1506220,30.9,3.38,0.779,0.856,1.0,0.95,0.946
cell_7216,6295,1563637,30.5,3.29,0.814,0.897,1.0,0.95,0.922
cell_7217,7848,1469821,32.7,3.31,0.844,0.911,0.993,0.95,0.943
cell_7218,7604,1389524,31.0,3.18,0.845,0.863,0.992,0.923,0.889
cell_7219,6870,1576122,31.5,3.22,0.813,0.921,0.997,0.945,0.929
cell_7220,5742,1436927,32.2,3.12,0.817,0.89,1.0,0.948,0.906
cell_7221,6054,1408961,31.9,3.31,0.843,0.91,0.992,0.928,0.885
cell_7222,8231,1327489,31.4,3.07,0.858,0.865,1.0,0.926,0.908
cell_7223,7600,1386960,31.6,3.07,0.84,0.869,1.0,0.95,0.876
cell_7224,7574,1329027,30.8,3.18,0.807,0.874,1.0,0.914,0.922
cell_7225,6640,1411854,31.3,3.17,0.829,0.853,0.985,0.95,0.924
cell_7226,7185,1383260,31.5,3.13,0.839,0.885,1.0,0.947,0.913
cell_7227,6720,1562345,32.2,3.21,0.783,0.895,1.0,0.95,0.88
cell_7228,6636,1544684,33.5,3.17,0.824,0.837,0.98,0.908,0.926
cell_7229,7207,1430244,33.1,3.34,0.851,0.884,1.0,0.95,0.887
cell_7230,8021,1529044,31.2,3.12,0.8,0.865,1.0,0.935,0.9
cell_7231,7596,1582639,31.4,3.24,0.858,0.88,0.999,0.942,0.876
cell_7232,7314,1585352,32.2,3.08,0.814,0.879,0.986,0.927,0.906
cell_7233,6536,1385111,32.4,3.23,0.824,0.845,0.987,0.911,0.878
cell_7234,2090,585200,28.5,4.24,0.628,0.656,0.943,0.728,0.683
cell_7235,2787,564352,26.8,4.45,0.649,0.708,0.945,0.755,0.684
cell_7236,2225,542608,29.3,4.51,0.678,0.68,0.954,0.741,0.709
cell_7237,2151,524797,27.2,4.34,0.646,0.696,0.937,0.744,0.697
cell_7238,2553,569234,27.2,4.51,0.66,0.709,0.955,0.753,0.728
cell_7239,2349,539681,28.9,4.39,0.655,0.664,0.956,0.713,0.724
cell_7240,2068,504102,27.5,4.34,0.633,0.662,0.965,0.73,0.723
cell_7241,2508,579907,28.7,4.37,0.675,0.671,0.954,0.748,0.736
cell_7242,1991,555750,29.2,4.15,0.635,0.665,0.943,0.712,0.728
cell_7243,2147,510312,28.8,4.53,0.664,0.696,0.967,0.735,0.731
cell_7244,2231,504998,27.4,4.38,0.677,0.668,0.957,0.76,0.7
cell_7245,2317,535851,28.4,4.21,0.627,0.692,0.968,0.725,0.722
cell_7246,2724,547555,29.3,4.18,0.682,0.704,0.964,0.76,0.731
cell_7247,2951,555610,29.2,4.34,0.665,0.694,0.962,0.754,0.684
cell_7248,2220,563722,28.9,4.57,0.672,0.687,0.938,0.74,0.711
cell_7249,2294,601684,28.1,4.51,0.65,0.688,0.935,0.766,0.706
cell_7250,2726,593518,26.7,4.63,0.671,0.703,0.949,0.758,0.714
cell_7251,2662,574314,26.8,4.3,0.658,0.707,0.966,0.76,0.696
cell_7252,2386,553133,26.7,4.23,0.627,0.688,0.947,0.73,0.707
cell_7253,2528,522709,26.8,4.48,0.632,0.69,0.933,0.725,0.69
cell_7254,3153,759270,30.1,3.96,0.718,0.823,1.0,0.84,0.807
cell_7255,3686,812726,29.8,3.68,0.721,0.829,0.998,0.857,0.863
cell_7256,3746,793588,28.5,3.92,0.764,0.841,0.994,0.851,0.817
cell_7257,3173,728080,30.0,3.92,0.738,0.844,0.987,0.841,0.855
cell_7258,4143,715710,28.7,3.91,0.757,0.798,1.0,0.835,0.817
cell_7259,2982,816662,29.7,3.76,0.704,0.814,0.981,0.834,0.797
cell_7260,3563,752231,30.7,4.01,0.758,0.788,1.0,0.848,0.833
cell_7261,3040,786270,28.6,4.09,0.704,0.829,1.0,0.831,0.857
cell_7262,3883,694455,30.7,3.74,0.723,0.815,0.996,0.849,0.848
cell_7263,3583,757362,29.8,3.94,0.704,0.845,1.0,0.866,0.846
cell_7264,4406,776940,30.0,3.92,0.728,0.818,1.0,0.894,0.8
cell_7265,2989,810594,29.8,3.91,0.728,0.849,1.0,0.872,0.798
cell_7266,3346,815764,30.8,3.72,0.701,0.803,0.985,0.877,0.862
cell_7267,3357,769769,30.9,4.12,0.694,0.822,0.998,0.854,0.83
cell_7268,3259,701451,30.0,4.05,0.701,0.84,0.991,0.852,0.862
cell_7269,3887,775563,29.5,3.98,0.727,0.847,1.0,0.879,0.853
cell_7270,3659,740051,31.1,3.73,0.714,0.789,0.982,0.868,0.857
cell_7271,3472,741660,30.4,4.02,0.745,0.79,0.985,0.889,0.802
cell_7272,3203,808794,30.3,3.93,0.744,0.845,0.989,0.827,0.805
cell_7273,2775,797623,31.2,4.0,0.707,0.829,1.0,0.882,0.859
cell_7274,3718,761679,30.9,3.72,0.705,0.807,1.0,0.83,0.82
cell_7275,3333,754485,30.6,3.96,0.759,0.794,0.997,0.853,0.804
cell_7276,3061,795690,29.0,3.79,0.743,0.828,0.984,0.891,0.807
cell_7277,2948,688023,28.6,3.94,0.759,0.812,0.992,0.889,0.801
cell_7278,3219,742020,29.7,3.92,0.727,0.86,0.981,0.878,0.8
cell_7279,3134,827686,30.7,3.88,0.763,0.838,1.0,0.874,0.802
cell_7280,4116,716556,30.9,3.75,0.727,0.786,0.994,0.879,0.8
cell_7281,3479,828181,29.2,3.75,0.708,0.798,1.0,0.894,0.832
cell_7282,3553,708054,28.6,3.95,0.709,0.812,0.989,0.889,0.819
cell_7283,3182,696897,30.0,4.07,0.719,0.843,0.981,0.842,0.806
cell_7284,3823,740774,30.3,4.09,0.72,0.809,0.984,0.85,0.846
cell_7285,4043,685053,28.9,4.01,0.762,0.836,0.989,0.833,0.855
cell_7286,2832,774697,29.1,3.77,0.704,0.856,0.985,0.89,0.818
cell_7287,4279,762927,30.8,3.79,0.721,0.824,1.0,0.868,0.798
cell_7288,3701,720516,29.6,3.85,0.705,0.808,1.0,0.884,0.835
cell_7289,3688,690729,30.6,4.13,0.71,0.86,1.0,0.835,0.858
cell_7290,3611,736388,30.4,4.06,0.696,0.823,1.0,0.827,0.856
cell_7291,4010,701784,31.3,4.04,0.696,0.826,0.985,0.835,0.81
cell_7292,3798,688723,30.6,4.12,0.74,0.846,1.0,0.875,0.841
cell_7293,10450,636061,35.1,4.27,0.708,0.748,0.985,0.782,0.778
cell_7294,13117,623790,34.6,4.21,0.647,0.751,0.994,0.772,0.766
cell_7295,11336,689103,36.1,4.55,0.69,0.734,0.993,0.755,0.726
cell_7296,10751,692048,35.7,4.16,0.665,0.735,1.0,0.801,0.756
cell_7297,11807,677330,36.2,4.12,0.693,0.753,0.99,0.794,0.736
cell_7298,11156,690554,33.4,4.55,0.699,0.71,0.994,0.779,0.773
cell_7299,10541,583179,33.7,4.4,0.662,0.687,0.987,0.762,0.766
cell_7300,12956,623337,33.6,4.46,0.656,0.712,0.99,0.767,0.756
cell_7301,10628,657752,36.3,4.23,0.668,0.71,1.0,0.768,0.735
cell_7302,12348,608360,36.2,4.19,0.687,0.754,1.0,0.776,0.724
cell_7303,11443,694214,35.8,4.52,0.691,0.756,0.999,0.769,0.744
cell_7304,10991,689306,35.3,4.42,0.666,0.755,0.991,0.759,0.767
cell_7305,12301,645257,34.7,4.19,0.701,0.739,0.999,0.777,0.731
cell_7306,13680,668012,35.0,4.06,0.709,0.706,0.992,0.778,0.746
cell_7307,11742,664208,33.6,4.18,0.695,0.742,0.999,0.798,0.776
cell_7308,12366,615954,35.8,4.38,0.673,0.7,1.0,0.776,0.728
cell_7309,12863,622622,36.2,4.08,0.68,0.753,0.988,0.76,0.743
cell_7310,10169,697580,34.5,4.07,0.707,0.716,1.0,0.772,0.776
cell_7311,11696,681516,34.1,4.46,0.7,0.753,1.0,0.773,0.755
cell_7312,11024,656301,34.0,4.42,0.7,0.735,1.0,0.779,0.754
cell_7313,13128,694113,36.7,4.55,0.707,0.751,0.985,0.76,0.773
cell_7314,13783,674564,33.7,4.51,0.698,0.725,1.0,0.785,0.743
cell_7315,14152,608373,33.4,4.15,0.697,0.747,0.994,0.758,0.772
cell_7316,10098,587854,36.4,4.21,0.658,0.753,0.993,0.795,0.734
cell_7317,11394,657631,34.8,4.45,0.696,0.751,0.995,0.796,0.778
cell_7318,10577,674439,34.8,4.25,0.683,0.751,0.983,0.778,0.727
cell_7319,11433,587482,36.6,4.33,0.702,0.718,0.997,0.806,0.779
cell_7320,13600,686428,35.2,4.53,0.66,0.748,0.992,0.751,0.767
cell_7321,11861,644363,35.9,4.21,0.656,0.712,0.998,0.795,0.732
cell_7322,7803,1567128,32.2,3.18,0.803,0.845,0.995,0.934,0.915
cell_7323,7791,1396143,33.2,3.29,0.804,0.851,0.992,0.912,0.939
cell_7324,8256,1542905,30.9,3.18,0.859,0.857,0.982,0.928,0.911
cell_7325,6335,1378490,31.1,3.11,0.788,0.843,1.0,0.95,0.932
cell_7326,8383,1582235,33.4,3.31,0.838,0.863,0.984,0.909,0.927
cell_7327,7040,1411278,31.0,3.16,0.837,0.86,0.987,0.95,0.938
cell_7328,7452,1523914,32.7,3.01,0.802,0.918,1.0,0.941,0.914
cell_7329,6711,1366606,30.8,3.12,0.834,0.874,0.994,0.95,0.933
cell_7330,7762,1513170,33.2,3.36,0.819,0.867,1.0,0.922,0.932
cell_7331,8534,1502159,30.6,3.09,0.834,0.905,0.983,0.904,0.896
cell_7332,7529,1307424,30.9,3.3,0.803,0.846,0.982,0.95,0.908
cell_7333,6301,1446688,32.5,3.06,0.853,0.905,1.0,0.943,0.898
cell_7334,6877,1344697,32.1,3.19,0.791,0.883,1.0,0.95,0.929
cell_7335,7403,1586014,32.7,3.31,0.801,0.923,0.987,0.95,0.902
cell_7336,6550,1432908,32.9,3.37,0.813,0.893,1.0,0.91,0.944
cell_7337,7589,1591115,30.7,3.35,0.832,0.908,0.984,0.95,0.919
cell_7338,7399,1520896,31.4,3.37,0.804,0.913,0.98,0.95,0.936
cell_7339,7065,1413493,31.9,3.03,0.796,0.92,0.997,0.904,0.911
cell_7340,7704,1345952,32.5,3.36,0.849,0.894,0.987,0.95,0.934
cell_7341,7632,1423569,30.9,3.3,0.839,0.845,0.981,0.95,0.875
cell_7342,7370,1530450,30.7,3.27,0.829,0.911,1.0,0.95,0.905
cell_7343,8236,1523526,30.7,3.19,0.784,0.847,1.0,0.929,0.907
cell_7344,6504,1411091,33.2,3.34,0.819,0.902,1.0,0.906,0.918
cell_7345,7999,1462050,32.1,3.2,0.843,0.893,0.989,0.935,0.912
cell_7346,6549,1341175,30.8,3.12,0.812,0.896,1.0,0.95,0.933
cell_7347,8021,1378300,31.9,3.06,0.825,0.838,0.988,0.95,0.894
cell_7348,7819,1317922,30.5,3.1,0.835,0.857,1.0,0.929,0.894
cell_7349,6936,1553330,31.7,3.1,0.814,0.916,0.993,0.95,0.898
cell_7350,8418,1478582,33.4,3.24,0.859,0.9,1.0,0.95,0.874
cell_7351,2111,516421,29.2,4.21,0.635,0.669,0.955,0.756,0.716
cell_7352,2520,615527,27.1,4.35,0.672,0.663,0.96,0.732,0.692
cell_7353,2598,516539,28.0,4.53,0.666,0.672,0.949,0.761,0.693
cell_7354,2673,534851,26.6,4.2,0.667,0.69,0.94,0.765,0.729
cell_7355,2196,524692,28.4,4.51,0.643,0.696,0.969,0.747,0.718
cell_7356,2027,610839,28.8,4.5,0.619,0.698,0.956,0.744,0.717
cell_7357,2297,521581,29.1,4.14,0.676,0.648,0.961,0.763,0.716
cell_7358,2192,527620,29.1,4.57,0.621,0.701,0.947,0.744,0.688
cell_7359,2344,578983,28.4,4.43,0.62,0.657,0.937,0.763,0.733
cell_7360,2374,598097,27.1,4.43,0.665,0.65,0.954,0.725,0.71
cell_7361,2515,558789,27.4,4.62,0.68,0.701,0.953,0.763,0.716
cell_7362,1919,585302,28.7,4.62,0.671,0.689,0.938,0.746,0.706
cell_7363,2498,520750,28.4,4.46,0.637,0.675,0.935,0.712,0.682
cell_7364,2507,562532,26.9,4.61,0.654,0.648,0.96,0.738,0.712
cell_7365,2210,610147,27.3,4.46,0.673,0.669,0.955,0.769,0.73
cell_7366,2567,554542,28.0,4.5,0.627,0.705,0.932,0.72,0.709
cell_7367,2211,541249,27.4,4.34,0.65,0.678,0.962,0.729,0.698
cell_7368,2120,516523,28.8,4.4,0.622,0.676,0.946,0.725,0.703
cell_7369,2232,549755,28.3,4.63,0.63,0.674,0.952,0.743,0.719
cell_7370,2407,526531,27.0,4.58,0.648,0.673,0.966,0.752,0.72
cell_7371,2960,757431,30.5,3.85,0.698,0.835,1.0,0.891,0.824
cell_7372,3718,792701,28.7,3.94,0.696,0.798,0.983,0.84,0.829
cell_7373,2919,757273,30.6,3.69,0.758,0.833,1.0,0.853,0.823
cell_7374,2974,696045,29.4,3.98,0.715,0.846,0.995,0.869,0.825
cell_7375,3236,762108,28.8,3.85,0.726,0.837,0.996,0.871,0.808
cell_7376,3107,756028,30.5,3.81,0.696,0.838,1.0,0.853,0.837
cell_7377,3608,815841,30.7,4.03,0.7,0.791,1.0,0.863,0.848
cell_7378,3221,757883,31.1,3.75,0.719,0.791,0.998,0.886,0.841
cell_7379,3253,752708,31.0,4.06,0.766,0.822,0.98,0.887,0.86
cell_7380,4174,716211,28.9,3.99,0.704,0.857,0.998,0.828,0.807
cell_7381,3527,796068,29.1,3.97,0.696,0.787,1.0,0.874,0.858
cell_7382,3055,825204,29.8,3.9,0.756,0.827,0.992,0.863,0.838
cell_7383,3523,769026,31.3,3.69,0.708,0.807,1.0,0.884,0.81
cell_7384,3606,706548,29.3,4.01,0.706,0.847,1.0,0.856,0.806
cell_7385,4071,789200,29.5,3.99,0.731,0.849,0.998,0.842,0.804
cell_7386,3379,709846,28.6,3.88,0.719,0.813,0.998,0.878,0.861
cell_7387,3738,718713,30.8,3.98,0.697,0.838,1.0,0.89,0.842
cell_7388,3260,708510,29.3,3.91,0.722,0.833,0.998,0.879,0.844
cell_7389,4073,810802,30.8,3.7,0.739,0.781,1.0,0.83,0.862
cell_7390,3253,755178,31.0,3.75,0.733,0.779,1.0,0.839,0.823
cell_7391,3150,824854,29.9,3.77,0.747,0.852,1.0,0.855,0.821
cell_7392,3343,798082,29.0,3.88,0.763,0.827,1.0,0.83,0.815
cell_7393,3429,782018,28.9,3.84,0.753,0.791,0.989,0.863,0.806
cell_7394,3893,766665,30.6,3.98,0.709,0.848,0.985,0.889,0.811
cell_7395,4229,709989,29.0,3.71,0.712,0.833,1.0,0.868,0.799
cell_7396,3328,812882,29.6,3.74,0.716,0.813,1.0,0.854,0.856
cell_7397,3090,721748,29.9,4.03,0.757,0.794,0.98,0.885,0.812
cell_7398,3828,745426,28.9,3.98,0.753,0.817,0.998,0.878,0.83
cell_7399,3240,814360,29.3,3.75,0.696,0.847,0.982,0.891,0.834
cell_7400,3915,728488,30.9,4.11,0.72,0.847,1.0,0.866,0.821
cell_7401,3231,748793,31.5,3.84,0.742,0.805,0.999,0.831,0.847
cell_7402,3469,763776,31.1,3.69,0.761,0.818,1.0,0.885,0.801
cell_7403,3998,690565,31.3,3.96,0.706,0.789,1.0,0.83,0.808
cell_7404,4161,777250,29.1,3.77,0.726,0.841,0.98,0.829,0.855
cell_7405,3984,759929,28.9,3.71,0.76,0.81,1.0,0.857,0.845
cell_7406,3227,741284,29.2,3.95,0.733,0.82,1.0,0.835,0.821
cell_7407,3623,689430,29.3,4.1,0.715,0.791,1.0,0.829,0.825
cell_7408,4316,721851,29.4,3.93,0.71,0.791,0.997,0.831,0.856
cell_7409,3196,804289,29.5,4.02,0.707,0.822,1.0,0.857,0.802
cell_7410,12396,616501,36.7,4.49,0.649,0.727,0.994,0.751,0.721
cell_7411,11339,666024,34.8,4.44,0.701,0.731,0.997,0.81,0.738
cell_7412,11863,630827,33.7,4.22,0.661,0.749,1.0,0.767,0.754
cell_7413,14407,585605,36.0,4.54,0.678,0.756,1.0,0.79,0.771
cell_7414,12576,651762,35.0,4.47,0.706,0.734,0.981,0.786,0.769
cell_7415,13427,690857,35.1,4.25,0.65,0.73,0.991,0.791,0.768
cell_7416,9822,686752,35.2,4.2,0.689,0.733,0.986,0.789,0.737
cell_7417,14276,589141,36.5,4.51,0.669,0.686,1.0,0.77,0.731
cell_7418,9675,606396,36.0,4.45,0.68,0.724,1.0,0.805,0.77
cell_7419,10939,689649,36.5,4.45,0.697,0.724,0.994,0.764,0.728
cell_7420,13423,621907,33.3,4.53,0.676,0.754,1.0,0.757,0.74
cell_7421,12739,605694,33.9,4.18,0.7,0.701,1.0,0.803,0.743
cell_7422,9247,615923,33.9,4.19,0.683,0.686,0.983,0.802,0.751
cell_7423,11044,576019,35.8,4.29,0.708,0.741,1.0,0.779,0.769
cell_7424,11763,662354,35.5,4.48,0.705,0.703,1.0,0.806,0.727
cell_7425,11730,627454,35.7,4.11,0.702,0.686,1.0,0.763,0.76
cell_7426,13594,686377,34.4,4.31,0.668,0.736,0.997,0.756,0.76
cell_7427,9740,692114,33.6,4.3,0.7,0.749,1.0,0.758,0.776
cell_7428,12063,611454,33.4,4.14,0.699,0.692,0.985,0.761,0.744
cell_7429,12192,608980,36.5,4.55,0.697,0.685,0.99,0.765,0.753
cell_7430,9419,598574,34.4,4.07,0.659,0.696,1.0,0.759,0.767
cell_7431,12684,633646,36.4,4.18,0.698,0.696,1.0,0.751,0.747
cell_7432,11956,632439,35.3,4.49,0.656,0.702,1.0,0.763,0.774
